,Don’t Matter To Me,Halo,Havana,Too Good At Goodbyes,What About Us
Don’t Matter To Me,1.0,0.8663304455304703,0.6805292576130179,0.976740640411981,0.9475514108572048
Halo,0.8663304455304703,1.0,0.694549572271985,0.8807312045617898,0.8752275114368743
Havana,0.6805292576130179,0.694549572271985,1.0,0.6842447193459337,0.7660888083502618
Too Good At Goodbyes,0.976740640411981,0.8807312045617898,0.6842447193459337,1.0,0.9562341488227056
What About Us,0.9475514108572048,0.8752275114368743,0.7660888083502618,0.9562341488227056,1.0
