,Babushka Boi_A$AP Rocky,Baby Birkin_Gunna,Bad Bad Bad (feat. Lil Baby)_Young Thug,Ballin' (feat. Roddy Ricch)_Mustard,Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,Big Boy Diamonds (feat. Kodak Black & London On Da Track)_Gucci Mane,Big Stepper_Roddy Ricch,Broke As Fuck_YBN Cordae,Camelot_NLE Choppa,Carter Son_YoungBoy Never Broke Again,Did It Again_Lil Tecca,Enemies (feat. DaBaby)_Post Malone,F.N_Lil Tjay,First Class_Blueface,HIGHEST IN THE ROOM_Travis Scott,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,Hot Shower_Chance the Rapper,I Wanna Rock (feat. Gunna)_G-Eazy,Mac 10_Trippie Redd,Make No Sense_YoungBoy Never Broke Again,Mood Swings_A Boogie Wit da Hoodie,ORANGE SODA_Baby Keem,On The Road (feat. Meek Mill & Lil Baby)_Post Malone,Pose (feat. Megan Thee Stallion & Lil Uzi Vert)_Yo Gotti,RAW SHIT (feat. Migos)_DaBaby,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,Routine (feat. Rick Ross & Meek Mill)_Wale,Saint-Tropez_Post Malone,Satish_Tee Grizzley,Self Control_YoungBoy Never Broke Again,Stuck In A Dream (feat. Gunna)_Lil Mosey,Through Da Storm_Polo G,VIBEZ_DaBaby,Valentino_24kGoldn,What's the Move (feat. Lil Uzi Vert)_Young Thug
Mood Swings_A Boogie Wit da Hoodie,0.9447524747836815,0.9730736137322865,0.9587952245014287,0.9709085477231041,0.982098638273679,0.9409965874091315,0.9801337792047724,0.9760404944766012,0.9659226349241226,0.9721480603009137,0.9604768133240783,0.9702561410137819,0.9449230866817324,0.9449209713492929,0.9539623653212973,0.9812069255327894,0.9435087819870417,0.964013459278627,0.9628803188959343,0.9582559293491696,1.0,0.9491801389060336,0.9338462111790299,0.9289360497644849,0.9735322479481057,0.9617478531964252,0.9732913555595147,0.942916025666432,0.9734893420990934,0.9467967071269411,0.9775094607339614,0.9703981991843935,0.975181878542229,0.9315201430394549,0.9667174207266601
ORANGE SODA_Baby Keem,0.8910425102909819,0.9285824038793972,0.9050634533466262,0.9370937194923781,0.9643205151172634,0.8991365326951076,0.9429571748138704,0.9547772737115913,0.9574926526339604,0.9218772280562297,0.9475187023833069,0.9110128060955158,0.9536778078957635,0.9101867896980627,0.9136060899190382,0.9435284749053875,0.9217321170572581,0.9315583332973819,0.9609918230239564,0.8853266715504982,0.9491801389060336,1.0,0.8392223331454478,0.8775622703362678,0.9350845645676868,0.8958975649271935,0.9275688357784709,0.8771774641388738,0.9090853321300534,0.8843274881501413,0.9435746350567369,0.9076257701529011,0.9585661664750664,0.8609822993919152,0.9340433860598941
On The Road (feat. Meek Mill & Lil Baby)_Post Malone,0.9507342467754629,0.953776656310708,0.947671246419926,0.9320545988264988,0.9091783932953018,0.9392436206513138,0.9297987527618241,0.901410581504786,0.8564127701519922,0.9628727732155945,0.8533932401834047,0.9643444393362482,0.8283658662951934,0.9102675114693329,0.9284776325345698,0.9288613964135047,0.8590846604179752,0.9241225873836747,0.8603387967180655,0.9412729087914351,0.9338462111790299,0.8392223331454478,1.0,0.9274802154534769,0.9553107489807285,0.9633834777947535,0.9367461660869348,0.9461277033790765,0.9664375631236723,0.9712349465024265,0.9328014440551956,0.9612252452132437,0.8968035972517665,0.9580993980512194,0.9406863687595396
Pose (feat. Megan Thee Stallion & Lil Uzi Vert)_Yo Gotti,0.9412906688668061,0.9418919649164326,0.9379496834161924,0.9234140103329269,0.9204063377897295,0.9312900062656748,0.9269671297799669,0.9087921960502225,0.895904787989232,0.9371559771042279,0.8640025303243368,0.9391792324833723,0.8611101644178472,0.910339684409894,0.9126731022708816,0.9290432099423127,0.8836131578795496,0.9263370296435866,0.9039571773279622,0.939362267596336,0.9289360497644849,0.8775622703362678,0.9274802154534769,1.0,0.9512031056773141,0.9416028010947061,0.9354168277706524,0.9011877519008862,0.94706633943195,0.9421395449148127,0.9155277775203376,0.9417476881160685,0.9069041849818581,0.9405916285799364,0.9414289258714819
RAW SHIT (feat. Migos)_DaBaby,0.9616309395143722,0.9875308477455836,0.9685426838114022,0.9724767719598133,0.968736319941979,0.9714354856749828,0.972449951293069,0.9629206042316198,0.9441567313643432,0.979756111370705,0.9399081844179558,0.976408108831398,0.9195504813759543,0.9597829444845852,0.9575875076308475,0.9782764664537487,0.9246726139964195,0.9578311556044579,0.9474254036441944,0.9632984257883779,0.9735322479481057,0.9350845645676868,0.9553107489807285,0.9512031056773141,1.0,0.977746740063361,0.9804663945881333,0.9356156046954779,0.9850434552647495,0.9771425590649246,0.9676039292802029,0.9865269096816547,0.9706861879619153,0.9669307259957031,0.9767226434703007
Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,0.9537550595408749,0.9804304417485853,0.9629986073895414,0.9673012088150044,0.9424721200228395,0.9733550638076326,0.9723651612768844,0.9358737058757081,0.9141346583084682,0.9788779930193229,0.9155364857743411,0.9650748173390991,0.8883807812919172,0.9603284397450041,0.9369838432461602,0.9637469591361992,0.8976721671419436,0.9513983258181157,0.9169310582458213,0.9570354738811403,0.9617478531964252,0.8958975649271935,0.9633834777947535,0.9416028010947061,0.977746740063361,1.0,0.9688881553454098,0.9465369926687071,0.9836409220661206,0.9721375187757121,0.9656977168724933,0.977517850726368,0.9342080438066456,0.9669609441584673,0.9736091501504317
Routine (feat. Rick Ross & Meek Mill)_Wale,0.9393934415889292,0.9784968257881507,0.9731073174661644,0.972337171140228,0.9733420058364028,0.9422208362478938,0.9712494224038479,0.9675582654907158,0.9556774382637512,0.9730101695207787,0.9516286787184357,0.9694497713659933,0.9259672160117426,0.9526270592004246,0.9502471621863624,0.9763865405643158,0.93858464088356,0.9452542647999022,0.9529614956168675,0.9565321151690539,0.9732913555595147,0.9275688357784709,0.9367461660869348,0.9354168277706524,0.9804663945881333,0.9688881553454098,1.0,0.9505707687618138,0.9810231975882298,0.9649689144645682,0.9705157512126985,0.9855611080566026,0.975233521034595,0.9520796279076018,0.9760538929996454
Saint-Tropez_Post Malone,0.9283797645195265,0.9497027512202502,0.9447719477548381,0.9352272622409297,0.9267874284199876,0.9190460914301593,0.9384758191701875,0.9231875272893173,0.8879926736287401,0.9506190828864991,0.8862523616565445,0.9460855822751643,0.8543482489338674,0.9376219015394017,0.9293824694544989,0.9391387622104761,0.9041861138628512,0.9229976022525825,0.8986241726330717,0.9158973928680537,0.942916025666432,0.8771774641388738,0.9461277033790765,0.9011877519008862,0.9356156046954779,0.9465369926687071,0.9505707687618138,1.0,0.94900762785827,0.939293697234591,0.947186880176317,0.9456733718291727,0.9214670692244392,0.9121780319281583,0.9542624358331526
Satish_Tee Grizzley,0.9644593856066935,0.9808688432922327,0.9723388571240972,0.9722353953658809,0.963136715268459,0.9567634591296365,0.978632405814645,0.9544176138937764,0.9314303929916335,0.9904048375212008,0.9375645584975069,0.9842758288892509,0.9095885662271425,0.9455579026450686,0.950215096302901,0.9703533793177544,0.9101889838952175,0.9552543767899966,0.9268593609209582,0.9642239603672815,0.9734893420990934,0.9090853321300534,0.9664375631236723,0.94706633943195,0.9850434552647495,0.9836409220661206,0.9810231975882298,0.94900762785827,1.0,0.9863321586441416,0.9691007440287379,0.9898387099408146,0.9551337058062862,0.9725817916782972,0.9765791985074018
Self Control_YoungBoy Never Broke Again,0.956453163428105,0.9690390626556802,0.9598759597414704,0.9625466909932205,0.9376128222761635,0.9475002264696617,0.9484841676732585,0.9315776044669838,0.8981591787228155,0.9792755776844592,0.9011935837686523,0.9750102751520164,0.8756843785252799,0.9330227301258525,0.9394918384910561,0.9460112825720908,0.8922217695467628,0.9338389071183371,0.9027291932826952,0.953060157480571,0.9467967071269411,0.8843274881501413,0.9712349465024265,0.9421395449148127,0.9771425590649246,0.9721375187757121,0.9649689144645682,0.939293697234591,0.9863321586441416,1.0,0.9483609319416919,0.9797756792082319,0.9389846426450459,0.98055663339445,0.9637127160231694
Stuck In A Dream (feat. Gunna)_Lil Mosey,0.9449811731750685,0.9802799659913131,0.961841690184464,0.9743712105946966,0.9831876942973703,0.9543573072565245,0.975201648937524,0.9729626084876434,0.949866509641064,0.966983886155688,0.9526568584955819,0.9609020618447331,0.9272484178180764,0.9518980265859074,0.958691631970448,0.9759661205790409,0.9246843291078022,0.9542115734389491,0.9500379195320042,0.9431090572183932,0.9775094607339614,0.9435746350567369,0.9328014440551956,0.9155277775203376,0.9676039292802029,0.9656977168724933,0.9705157512126985,0.947186880176317,0.9691007440287379,0.9483609319416919,1.0,0.9598167139934514,0.9613882474709244,0.924828649788474,0.9755215716161999
Through Da Storm_Polo G,0.9528931709902791,0.9759882021194557,0.9645234661766571,0.9656205649847033,0.9577376507469281,0.950835684999891,0.9680299454220663,0.9493940741234066,0.9288725855420218,0.9805619841531829,0.9277850166731507,0.97876081717214,0.9007548834284697,0.9421933001127301,0.9433271285385864,0.9687714540618649,0.9166217135027275,0.9546618779402878,0.9240944167315063,0.9576574858207115,0.9703981991843935,0.9076257701529011,0.9612252452132437,0.9417476881160685,0.9865269096816547,0.977517850726368,0.9855611080566026,0.9456733718291727,0.9898387099408146,0.9797756792082319,0.9598167139934514,1.0,0.9577935306562168,0.9755365065232471,0.9753376141908818
VIBEZ_DaBaby,0.9326736336202303,0.9698395367675634,0.9553647216106396,0.9606912859464012,0.98169178019961,0.9207590029983903,0.956410369438013,0.984092260033608,0.9742373305566792,0.9481541802138173,0.9727990335568503,0.9481736617257769,0.9487139194910306,0.9493728277698886,0.9642031282762032,0.9703036458810366,0.9661101203458103,0.9406100562775628,0.9736483899406011,0.9502248553459248,0.975181878542229,0.9585661664750664,0.8968035972517665,0.9069041849818581,0.9706861879619153,0.9342080438066456,0.975233521034595,0.9214670692244392,0.9551337058062862,0.9389846426450459,0.9613882474709244,0.9577935306562168,1.0,0.9150994247514775,0.9584255366155655
Valentino_24kGoldn,0.9552608691524254,0.9537763475975487,0.934542432564409,0.9365888287858344,0.9139711196593554,0.950810081857676,0.9381654413594559,0.9017983418940039,0.8773900661580155,0.9673091708155465,0.8700936803328125,0.954718400396289,0.8377086706714524,0.9205647055506095,0.9150352080936232,0.9280981958022637,0.8681145063962861,0.9327562436364067,0.8841413788335851,0.9521379795406977,0.9315201430394549,0.8609822993919152,0.9580993980512194,0.9405916285799364,0.9669307259957031,0.9669609441584673,0.9520796279076018,0.9121780319281583,0.9725817916782972,0.98055663339445,0.924828649788474,0.9755365065232471,0.9150994247514775,1.0,0.9584228316316098
What's the Move (feat. Lil Uzi Vert)_Young Thug,0.9606247196553527,0.9782685840213111,0.9690401795563471,0.9745536925224382,0.9689664714285803,0.9672321190305042,0.977237771859905,0.9547916876284335,0.9383383788539418,0.9770041863474824,0.9294363614613924,0.9636401735552884,0.8992071428785765,0.9633376744140568,0.9513844588763285,0.9669341320499586,0.9187825563307841,0.9675342156920105,0.9444828765772408,0.9559749504531503,0.9667174207266601,0.9340433860598941,0.9406863687595396,0.9414289258714819,0.9767226434703007,0.9736091501504317,0.9760538929996454,0.9542624358331526,0.9765791985074018,0.9637127160231694,0.9755215716161999,0.9753376141908818,0.9584255366155655,0.9584228316316098,1.0
